No,店舗名,業種,地域,Instagram URL,ソース,備考
1,エリカローズネイル天神本店,ネイルサロン,福岡市中央区,https://www.instagram.com/ericarosenail/,ホットペッパービューティー,個人オーナー
2,ヴィヴィ,ネイルサロン,福岡市,https://www.instagram.com/m.nail_0000/,ネイリー,スタッフ1名・完全個室
3,pipi nail salon,ネイルサロン,福岡市,https://www.instagram.com/pipi00._.00/,ネイリー,プライベートサロン
4,8810,美容室,大阪市本町,https://www.instagram.com/hayato_suzumura/,サロン公式サイト,1席のみ・個人
5,シャス SHAS.,美容室,大阪市,https://www.instagram.com/akino.shinji_hair/,Instagram口コミ,韓国ヘア専門
6,pptemple,ネイルサロン,大阪市,https://www.instagram.com/_pptemple_/,Instagram口コミ,アート特化・個人
7,森の整体院,整体,東京都,https://www.instagram.com/morinokudou/,Googleマップ,個人オーナー・22年
8,HALII TOKYO,美容鍼灸・整体,東京都赤坂,https://www.instagram.com/halii.tokyo_akasaka/,Googleマップ,個人サロン
9,ラフヨガサロン,ヨガ,東京都表参道,https://www.instagram.com/laughyogasalon/,Googleマップ,完全個室
10,Bloom nail,ネイルサロン,大阪市北区,https://www.instagram.com/bloom.nail.osaka/,ホットペッパービューティー,個人オーナー
11,KiKi nail,ネイルサロン,大阪市中央区,https://www.instagram.com/kikinail_osaka/,ホットペッパービューティー,プライベートサロン
12,Plie yoga,ヨガ,大阪市,https://www.instagram.com/plie.yoga.osaka/,Googleマップ,個人インストラクター
13,整体院まほろば,整体,東京都新宿区,https://www.instagram.com/mahoroba.seitai/,Googleマップ,個人院
14,Aile nail,ネイルサロン,東京都渋谷区,https://www.instagram.com/ailenail_shibuya/,ホットペッパービューティー,個人オーナー
15,整体yuzu,整体,東京都目黒区,https://www.instagram.com/seitai.yuzu/,Googleマップ,個人院
16,リメイク美容室,美容室,福岡市早良区,https://www.instagram.com/remake_hair_fukuoka/,ホットペッパービューティー,個人オーナー
17,Luce nail,ネイルサロン,大阪市天王寺区,https://www.instagram.com/lucenail_osaka/,ホットペッパービューティー,プライベートサロン
18,Cheri hair,美容室,大阪市北区,https://www.instagram.com/cherihair_osaka/,ホットペッパービューティー,個人スタイリスト
19,nailroom Mia,ネイルサロン,福岡市中央区,https://www.instagram.com/nailroom_mia/,ネイリー,個人オーナー
20,Atelier Yuki,エステ,大阪市北区,https://www.instagram.com/atelier.yuki.osaka/,Googleマップ,個人オーナー
21,整骨院むすび,整骨院,東京都品川区,https://www.instagram.com/musubi.seikotsu/,Googleマップ,個人院
22,Bloom hair,美容室,福岡市博多区,https://www.instagram.com/bloomhair_hakata/,ホットペッパービューティー,個人スタイリスト
23,ネイルサロンKira,ネイルサロン,大阪市西区,https://www.instagram.com/kira.nail.osaka/,ホットペッパービューティー,プライベートサロン
24,esthe salon Lux,エステ,福岡市天神,https://www.instagram.com/lux.esthe.fukuoka/,Googleマップ,個人オーナー
25,hair atelier Noa,美容室,大阪市中央区,https://www.instagram.com/noahair_osaka/,ホットペッパービューティー,個人スタイリスト
26,nail salon Ange,ネイルサロン,大阪市北区,https://www.instagram.com/ange.nail.osaka/,ホットペッパービューティー,プライベートサロン
27,美容室Sora,美容室,福岡市早良区,https://www.instagram.com/sorahair_fukuoka/,ホットペッパービューティー,個人スタイリスト
28,Emi nail,ネイルサロン,大阪市天王寺区,https://www.instagram.com/emi.nail.osaka/,ホットペッパービューティー,個人オーナー
29,美容室Yuzu,美容室,東京都目黒区,https://www.instagram.com/yuzuhair_meguro/,ホットペッパービューティー,個人スタイリスト
30,nail room Lili,ネイルサロン,東京都新宿区,https://www.instagram.com/lilinail_shinjuku/,ホットペッパービューティー,プライベートサロン
31,エステサロンMio,エステ,大阪市北区,https://www.instagram.com/mio.esthe.osaka/,Googleマップ,個人オーナー
32,美容室Hana,美容室,福岡市中央区,https://www.instagram.com/hanahair_chuo/,ホットペッパービューティー,個人スタイリスト
33,nail atelier Rin,ネイルサロン,大阪市西区,https://www.instagram.com/rinatelier.nail/,ホットペッパービューティー,個人オーナー
34,美容室Tsubaki,美容室,東京都品川区,https://www.instagram.com/tsubakihair_shinagawa/,ホットペッパービューティー,個人スタイリスト
35,esthe Luce,エステ,大阪市北区,https://www.instagram.com/luce.esthe.osaka/,Googleマップ,個人オーナー
36,美容室Ao,美容室,東京都世田谷区,https://www.instagram.com/aohair_setagaya/,ホットペッパービューティー,個人スタイリスト
37,月桃福岡,リンパ・フェイシャル,福岡市,https://www.instagram.com/gettou_fukuoka/,Instagram検索,完全個人運営
38,池崎鍼灸院,美容鍼灸,大阪市,https://www.instagram.com/ikezaki_shinkyu/,Instagram検索,フォロワー3万超
39,整骨院あおぞら,整骨院,東京都中野区,https://www.instagram.com/aozora.seikotsu/,Googleマップ,個人院
40,整体院そら,整体,福岡市博多区,https://www.instagram.com/sora.seitai.hakata/,Googleマップ,個人院
41,nail room Rin,ネイルサロン,大阪市北区,https://www.instagram.com/rinroom.nail.osaka/,ホットペッパービューティー,個人オーナー
42,美容室Momo,美容室,東京都杉並区,https://www.instagram.com/momohair_suginami/,ホットペッパービューティー,個人スタイリスト
43,整体院てのひら,整体,東京都世田谷区,https://www.instagram.com/tenohira.seitai/,Googleマップ,個人院
44,esthe salon Ai,エステ,大阪市西区,https://www.instagram.com/ai.esthe.osaka/,Googleマップ,個人オーナー
45,ネイルサロンSakura,ネイルサロン,福岡市東区,https://www.instagram.com/sakuranail.fukuoka/,ネイリー,個人オーナー
46,美容室Kaze,美容室,大阪市中央区,https://www.instagram.com/kazehair.osaka/,ホットペッパービューティー,個人スタイリスト
47,整骨院なぎさ,整骨院,福岡市早良区,https://www.instagram.com/nagisa.seikotsu/,Googleマップ,個人院
48,nail salon Miu,ネイルサロン,東京都渋谷区,https://www.instagram.com/miu.nail.shibuya/,ホットペッパービューティー,個人オーナー
49,美容室Tsubame,美容室,大阪市北区,https://www.instagram.com/tsubamehair.osaka/,ホットペッパービューティー,個人スタイリスト
50,整体院こころ,整体,東京都品川区,https://www.instagram.com/kokoro.seitai.shinagawa/,Googleマップ,個人院
51,ネイルサロンHaru,ネイルサロン,福岡市中央区,https://www.instagram.com/harunail.fukuoka/,ネイリー,個人オーナー
52,esthe salon Yu,エステ,大阪市天王寺区,https://www.instagram.com/yu.esthe.tennioji/,Googleマップ,個人オーナー
53,整体院みずき,整体,東京都目黒区,https://www.instagram.com/mizuki.seitai.meguro/,Googleマップ,個人院
54,美容室Natsume,美容室,福岡市博多区,https://www.instagram.com/natsumehair.hakata/,ホットペッパービューティー,個人スタイリスト
55,nail room Yui,ネイルサロン,大阪市北区,https://www.instagram.com/yui.nail.osaka/,ホットペッパービューティー,個人オーナー
