No,店舗名,業種,地域（市区）,Instagram URL（instagram.com/〜）,ソース（ホットペッパー/Googleマップ等）,備考
1,エリカローズネイル 天神本店,ネイルサロン,福岡市中央区,https://www.instagram.com/ericarosenail,ホットペッパービューティー,スタッフ4名・個人オーナー（倉えりか代表）・天神駅徒歩2分・JNA1級取得者在籍
2,アオフクオカ（ao. Fukuoka）,ネイル・まつげ・アイブロウサロン,福岡市中央区,https://www.instagram.com/ao.nail_eye,ホットペッパービューティー,スタッフ5名・薬院駅徒歩5分・個人オーナー経営・完全個室
3,ホームフクオカ（HOME FUKUOKA）,ネイル・まつげ・エステ,福岡市中央区,https://www.instagram.com/homefukuoka,ホットペッパービューティー,スタッフ6名・大名エリア・個人サロン・ネイル＆アイ同時施術可
4,ネイルベベ（Nail bebe）,ネイルサロン,福岡市博多区,https://www.instagram.com/nail.bebe_fukuoka,ホットペッパービューティー,スタッフ1名・完全個室プライベートサロン・オーナーネイリスト（サオリ）・吉塚
5,ヴィヴィ（VIVI）,ネイルサロン,福岡市博多区,https://www.instagram.com/m.nail_0000,ホットペッパービューティー,スタッフ1名・完全個室・オーナーネイリスト（minami）・東比恵駅徒歩10分
6,ジューシーネイル 天神店（Juicynail）,ネイルサロン,福岡市中央区,https://www.instagram.com/juicynail,ホットペッパービューティー,スタッフ6名・天神西通り沿い・歴20年目の実力派サロン
7,pipi nail salon,ネイルサロン,福岡市中央区,https://www.instagram.com/pipi00._.00,ネイリー（Nailie）,スタッフ1名・完全個室・六本松エリア・個人プライベートサロン
8,le'a Nail（レアネイル）,ネイルサロン,福岡市博多区,https://www.instagram.com/j___h104,ネイリー（Nailie）,席数2席・プライベートサロン・中洲川端駅徒歩8分・個人
9,マイ（MY）,まつげ・アイサロン,福岡市中央区,https://www.instagram.com/my_saki222,ホットペッパービューティー,スタッフ1名・完全個室・天神駅徒歩5分・歴12年オーナー
10,リボーン（reborn）,鍼灸・整体,福岡市中央区,https://www.instagram.com/reborn_hari.seitai,ホットペッパービューティー,スタッフ3名・薬院駅徒歩4分・ご夫婦経営・個人サロン
11,ao.スタッフ サエ,ネイルサロン（個人ネイリスト）,福岡市中央区,https://www.instagram.com/ao.saepi,ホットペッパービューティー,ao. Fukuoka在籍・個人ネイリスト指名可・薬院エリア
12,ao.スタッフ ナツ,ネイルサロン（個人ネイリスト）,福岡市中央区,https://www.instagram.com/ao.na_chan,ホットペッパービューティー,ao. Fukuoka在籍・個人ネイリスト指名可・薬院エリア
13,ao.スタッフ ルナ,ネイルサロン（個人ネイリスト）,福岡市中央区,https://www.instagram.com/ao.run___,ホットペッパービューティー,ao. Fukuoka在籍・個人ネイリスト指名可・薬院エリア
14,HOME FUKUOKA スタッフ ユズキ,まつげ・アイサロン（個人）,福岡市中央区,https://www.instagram.com/eye_yyy,ホットペッパービューティー,HOME FUKUOKA在籍・歴7年・束感まつげ得意・個人アイリスト
15,HOME FUKUOKA スタッフ エリ,まつげ・アイサロン（個人）,福岡市中央区,https://www.instagram.com/e_r_i_e_m_u,ホットペッパービューティー,HOME FUKUOKA在籍・歴11年・ナチュラル束感まつげ
16,HOME FUKUOKA スタッフ MOCO,ネイルサロン（個人ネイリスト）,福岡市中央区,https://www.instagram.com/moco.moon.nail,ホットペッパービューティー,HOME FUKUOKA在籍・歴1年・個人ネイリスト指名可
17,ローズヒップ スタッフ 中満かえで,ネイルサロン（個人ネイリスト）,福岡市西区,https://www.instagram.com/naka32_00w0,ホットペッパービューティー,個性的デザイン・キャラクターネイル得意・姪浜駅徒歩10分
18,キースネイルアトリエ スタッフ nanami,ネイルサロン（個人ネイリスト）,福岡市中央区,https://www.instagram.com/keeth_nana,ホットペッパービューティー,施術歴10年・薬院駅徒歩7分・似合わせカラー得意
19,nail salon hoLLyhock,ネイルサロン,福岡市中央区,https://www.instagram.com/hollyhock_nail,ミニモ（minimodel）,大濠エリア・1日2名限定・完全プライベート・個人・スタッフ1名
20,TONE Body care space,整体,福岡市中央区,https://www.instagram.com/tone_bodycare,サロン公式サイト,平尾エリア・個人オーナー（西尾直輝氏）・完全予約制・元プロサッカー選手
21,サラジュ 梅田店（SARAJU）,美容室,大阪市北区,https://www.instagram.com/saraju.umeda,ホットペッパービューティー,スタッフ7名・梅田駅徒歩5分・スタイリスト個人指名可
22,サラジュ スタイリスト イシヅ,美容室（個人スタイリスト）,大阪市北区,https://www.instagram.com/sor_zuu,ホットペッパービューティー,saraju梅田店・施術歴10年・まつげパーマ得意
23,シイ（SIE）,美容室,大阪市北区,https://www.instagram.com/SIE__hair,ホットペッパービューティー,スタッフ10名・中崎町駅徒歩5分・個人色強いサロン
24,SIE スタイリスト リオン,美容室（個人スタイリスト）,大阪市北区,https://www.instagram.com/ri_ri_668,ホットペッパービューティー,SIE在籍・デザインカラー・レイヤーカット得意
25,SIE スタイリスト ナツネ,美容室（個人スタイリスト）,大阪市北区,https://www.instagram.com/72_98_,ホットペッパービューティー,SIE在籍・カジュアルラフスタイル得意
26,SIE スタイリスト カナミ,美容室（個人スタイリスト）,大阪市北区,https://www.instagram.com/kaa_miiy,ホットペッパービューティー,SIE在籍・中明度カラー・垢抜け似合わせカット得意
27,シャス（SHAS.）,美容室,大阪市北区,https://www.instagram.com/akino.shinji_hair,ホットペッパービューティー,共同代表2名・天六駅徒歩30秒・少人数個人サロン・韓国ヘア専門
28,ミニョン（Mignon）,まつげ・アイサロン,大阪市西区,https://www.instagram.com/eyelist_rika1112,ホットペッパービューティー,スタッフ1名・完全個室・阿波座駅徒歩5分・個人オーナー
29,8810（ハチハチイチゼロ）,美容室,大阪市中央区,https://www.instagram.com/hayato_suzumura,ホットペッパービューティー,1席のみ大人女性プライベートサロン・本町駅徒歩1分・個人オーナー
30,エテルナ 堀江（Eterna）,美容室,大阪市西区,https://www.instagram.com/eterna_horie_miyuki,ホットペッパービューティー,1席プライベート・女性専用・西大橋駅徒歩3分・個人オーナー（miyuki）
31,pptemple,ネイルサロン,大阪市中央区,https://www.instagram.com/_pptemple_,サロン公式サイト,完全個室・東心斎橋・個人オーナー（結木帝歌氏）・アート特化
32,naillmatic,ネイルサロン,大阪市西区,https://www.instagram.com/naillmatic,ネイリー（Nailie）,1席プライベートサロン・本町駅徒歩1分・個人・子連れOK
33,ネイルサロン あかねいろ,ネイルサロン,大阪府吹田市,https://www.instagram.com/akaneiro_nail,ホットペッパービューティー,スタッフ1名・完全個室・江坂駅徒歩1分・芸大出身オーナー
34,プライベートネイルサロン ルーン（RUNE）,ネイルサロン,大阪市東成区,https://www.instagram.com/ru5ne7,ホットペッパービューティー,完全個室・緑橋駅徒歩1分・JNA1級・施術歴15年・個人
35,シャレオネイル（Shareo'Nail）,ネイルサロン,大阪市東淀川区,https://www.instagram.com/shareo_nail,ホットペッパービューティー,1席プライベート・東淀川駅徒歩5分・個人オーナー・子連れOK
36,ミラ ネイル（MILA NAIL）,ネイルサロン,大阪府堺市西区,https://www.instagram.com/mila_nail2023,ホットペッパービューティー,完全個室・鳳駅徒歩1分・個人オーナー・定額70種類以上
37,ヒーリングサロンアンドヨガスタジオ ナディ,ヨガ・エステ・整体,大阪府茨木市,https://www.instagram.com/nadideshu,ホットペッパービューティー,個人プライベートサロン・阪急茨木市駅徒歩5分
38,Epokku,ネイルサロン,大阪市中央区,https://www.instagram.com/epokku_nail,ネイリー（Nailie）,心斎橋駅徒歩3分・個人・三休橋通りエリア・パラジェル対応
39,プライベートサロン（a___naill）,ネイルサロン,大阪市中央区,https://www.instagram.com/a___naill,ネイリー（Nailie）,淀屋橋駅徒歩5分・完全プライベート・個人・ネイル1級保有
40,リライブ 亀有店（Re:Lives）,エステ・痩身・整体,東京都葛飾区,https://www.instagram.com/relives.katsushika,ホットペッパービューティー,完全個室・亀有駅徒歩3分・個人オーナー経営
41,森の整体院,整体・自律神経専門,東京都渋谷区,https://www.instagram.com/morinokudou,ホットペッパービューティー,スタッフ2名・幡ヶ谷駅徒歩5分・個人オーナー（工藤浩一朗）開業22年
42,ラフヨガサロン（LAUGH YOGA SALON）,ヨガ・整体,東京都港区,https://www.instagram.com/laughyogasalon,ホットペッパービューティー,完全個室・表参道駅徒歩3分・個人プライベートサロン
43,サラ ヨガ インスティテュート 自由が丘,ヨガ・スタイル改善,東京都世田谷区,https://www.instagram.com/sarah_yoga_institute,ホットペッパービューティー,個人経営（KEIKOオーナー）・自由が丘駅徒歩3分・少人数クラス
44,神楽坂整体院,整体・もみほぐし,東京都新宿区,https://www.instagram.com/kagurazaka.seitai,ホットペッパービューティー,飯田橋駅徒歩4分・個人経営・口コミ4.88・再来率95.3%
45,整体サロン ルミエール池袋,整体・小顔矯正,東京都豊島区,https://www.instagram.com/ikebukuro_lumiere,ホットペッパービューティー,池袋西口徒歩1分・個人オーナー（林眞太郎）・22周年老舗
46,ラスト整体院 錦糸町店,整体・骨盤矯正,東京都墨田区,https://www.instagram.com/last.seitai.kinshicho,ホットペッパービューティー,1日1名限定・スタッフ1名・錦糸町駅徒歩5分・国家資格保有
47,テンキ 目黒（Tenki）,整体・アロマ・リラク,東京都品川区,https://www.instagram.com/tenki_meguro,ホットペッパービューティー,スタッフ1名・完全個室・目黒駅徒歩1分・深夜23時最終受付
48,HALII TOKYO,美容鍼灸・整体,東京都港区,https://www.instagram.com/halii.tokyo_akasaka,Instagramより情報取得（口コミ掲載），赤坂見附・個人オーナー（影島先生）・美容整体・小顔美容鍼
49,ローズヒップ（Rose Hip）,ネイル・まつげ・エステサロン,福岡市西区,https://www.instagram.com/rosehip_maiko,ホットペッパービューティー,姪浜駅徒歩10分・個人オーナー経営・パラジェル対応
50,オドリバ（ODORIBA）スタイリスト 鷹巣愛美,美容室（個人スタイリスト）,大阪市北区,https://www.instagram.com/odoriba_falk,ホットペッパービューティー,天神橋筋六丁目駅徒歩1分・骨格補正スパ認定・美容師兼セラピスト
51,福ネイル（nail）博多店,ネイルサロン,福岡市博多区,https://www.instagram.com/fukunail_hakata,ホットペッパービューティー,個人オーナー経営・博多区美野島エリア・口コミ4.89・フィルイン得意
52,ヴィヴィ スタッフ（Nail Salon VIVI）,ネイルサロン,福岡市博多区,https://www.instagram.com/m.nail_0000,ホットペッパービューティー,スタッフ1名・完全個室・マグネット80色以上・個人オーナー
53,エヌアールネイル オーナー narumi（nr.nail）,ネイルサロン,福岡市中央区,https://www.instagram.com/nr.nail_fukuoka,ホットペッパービューティー,施術歴14年・オーナーネイリスト・赤坂駅徒歩1分・大名エリア
54,シャス（SHAS.）スタイリスト 白崎浩輝,美容室（個人スタイリスト）,大阪市北区,https://www.instagram.com/shirasaki_hairstylist,ホットペッパービューティー,SHAS.共同代表・レイヤーカット・韓国ヘア専門・施術歴12年
55,deco pongee（デコポンジー）,美容室,大阪市中央区,https://www.instagram.com/deco_pongee,ホットペッパービューティー,本町駅徒歩2分・少人数×オーナーStylistマンツーマン・カラー特化
